"Issue Type","Summary","Description","Priority","Labels","Epic Name","Epic Link"
"Epic","Phase 1: Ship-blocking defects in existing code","Seven critical defects found in the 1 Aug 2026 audit. All are in code that already exists. One (webhook HMAC fail-open) is a live security hole; one (frontend build) blocks CI. Target: 1-2 days.","Highest","interviewengine","Phase 1 - Ship Blockers",""
"Story","Release reserved wallet funds when an invite expires","SessionService:140 reserves funds at INVITED, but SessionExpiryJob bulk-UPDATEs INVITED->EXPIRED without ever calling walletService.releaseFunds. Every expired invite permanently strands the session cost in reservedPaise.

Acceptance criteria:
- Replace the bulk UPDATE with a paged fetch-then-release loop (or add a compensating sweep)
- Fix the Javadoc, which currently asserts the opposite of what the code does
- Write a one-off migration/job to release funds already stranded by this bug
- Integration test: expire an invited session, assert reservedPaise returns to zero","Highest","interviewengine bug billing","","Phase 1 - Ship Blockers"
"Story","Make webhook HMAC verification fail closed","WebhookService:296-300 skips signature verification entirely when the configured secret is blank, on a permitAll endpoint. A missing env var silently lets an unauthenticated caller forge payment.captured and mint wallet credit.

Acceptance criteria:
- Reject the request and log an error when the secret is absent
- @PostConstruct assertion that the secret is non-blank outside the local profile
- Test covering blank-secret rejection","Highest","interviewengine bug security","","Phase 1 - Ship Blockers"
"Story","Fix staging JWT and invite key configuration","application-staging.yml sets no app.security.jwt.private-key-pem / public-key-pem / invite secret, so TokenConfig falls back to generating ephemeral keys on every boot. Every restart invalidates all tokens and all outstanding candidate invite links. Its app.jwt.* keys also bind to nothing (wrong prefix).

Acceptance criteria:
- Source keys from SSM Parameter Store
- Correct the app.jwt.* -> app.security.jwt.* prefix
- TokenConfig fails startup rather than generating ephemeral keys outside the local profile","Highest","interviewengine bug config","","Phase 1 - Ship Blockers"
"Story","Set app.frontend.base-url in the production profile","application-prod.yml never sets app.frontend.base-url, so it falls back to http://localhost:3000 and production candidate invite emails would contain dead links.","Highest","interviewengine bug config","","Phase 1 - Ship Blockers"
"Story","Add CORS configuration","There is no CorsConfigurationSource, no .cors() call and no allowed-origins property anywhere in src/main. The SPA cannot call the API cross-origin as shipped.

Acceptance criteria:
- CorsConfigurationSource bound to app.security.cors.allowed-origins
- Applied to both security filter chains
- Per-environment origin lists","Highest","interviewengine bug security","","Phase 1 - Ship Blockers"
"Story","Fix the frontend TypeScript build","CandidatesPage.tsx:276-281 and JobDetailPage.tsx:80 pass status and jobId to candidatesApi.list, which accepts neither. tsc --strict rejects it and both filters are silently dead at runtime.

Acceptance criteria:
- Add status and jobId to the list param type and thread them to the backend
- Backend supports both filters
- npm run build passes","Highest","interviewengine bug frontend","","Phase 1 - Ship Blockers"
"Story","Validate file uploads (size, MIME, key ownership)","No size or content-type validation exists on any upload path, and upload-confirm accepts a client-supplied S3 key with no ownership check, allowing cross-tenant object access.

Acceptance criteria:
- Whitelist content types per upload type
- ContentLengthRange conditions on pre-signed PUTs (JD 10MB, resume 5MB, logo 2MB, recording 500MB)
- Validate objectKey matches {companyId}/{entityId}/... prefix
- Verify the S3 object exists before confirming","Highest","interviewengine bug security","","Phase 1 - Ship Blockers"
"Story","Commit package-lock.json and add .dockerignore","frontend/package-lock.json is missing, so npm ci fails in both frontend-ci.yml:41 and frontend/Dockerfile:8. No .dockerignore exists at root or in frontend/, so .git and .env ship in the build context.","High","interviewengine chore","","Phase 1 - Ship Blockers"
"Epic","Phase 2: Align to spec, remove superseded architecture","Correct wrong config values, migrate the session state machine, and delete the Recall.ai / Google Meet / Transcribe / Polly surface superseded by the April 2026 architecture. Target: 2-3 days.","High","interviewengine","Phase 2 - Spec Alignment",""
"Story","Correct session cost from Rs.50 to Rs.100","app.billing.session-cost-paise is 5000 (Rs.50); spec says Rs.100. Touches application.yml:142, .env.example:126, docker-compose.yml:101, BillingPage.tsx (193, 333, 358) and DashboardPage.tsx:131.","High","interviewengine config","","Phase 2 - Spec Alignment"
"Story","Correct JWT and invite token TTLs","Access token 15min -> 60min; refresh 30d -> 7d; invite token 7d -> 72h (48h on reinvite). The invite email body also hardcodes '7 days'.","Medium","interviewengine config","","Phase 2 - Spec Alignment"
"Story","Correct evaluation weights and recommendation bands","EvaluationWorker:216 uses 30/20/30/20; spec requires Technical 40 / Communication 20 / Relevance 25 / Problem-solving 15. Recommendation bands are not enforced at all - add Strong Yes 85-100, Yes 65-84, No 40-64, Strong No 0-39.","Medium","interviewengine ai","","Phase 2 - Spec Alignment"
"Story","Migrate session state machine (V027)","Add IN_PROGRESS and EVALUATING to the session status CHECK constraint, add recording_s3_key and consent_accepted_at columns, then write the SessionStateMachine class that SessionStatus's Javadoc already claims exists.","High","interviewengine backend","","Phase 2 - Spec Alignment"
"Story","Per-workflow AI vendor and model configuration","Replace the single global spring.ai.openai.chat.options.model with per-workflow vendor+model config (question / followup / evaluation). Build a ChatClient bean per workflow, injected by qualifier. Add spring-ai-anthropic alongside spring-ai-openai.

Note: application.yml:73 currently pins gpt-4o, which is no longer listed on OpenAI's pricing page.","High","interviewengine ai","","Phase 2 - Spec Alignment"
"Story","Move AI prompts to StringTemplate files","Prompts are inline Java string concatenation in QuestionGenerationWorker and EvaluationWorker. Spec requires resources/prompts/*.st StringTemplate files so prompts can be iterated without a code change. The directory does not exist.","Medium","interviewengine ai","","Phase 2 - Spec Alignment"
"Story","Add real AI response validation","validateJson() only checks the response parses. Add: array shape check, question count within range, duplicate detection, score bounds, required-field presence.","High","interviewengine ai","","Phase 2 - Spec Alignment"
"Story","Fix the question-generation failure loop","QuestionGenerationWorker:118 - a response outside 8-12 questions passes the Java validator then trips the DB CHECK at flush. The catch block saves FAILED inside the same doomed transaction, so the marker never persists and the session re-polls forever. Save the failure marker in a REQUIRES_NEW transaction.","High","interviewengine bug ai","","Phase 2 - Spec Alignment"
"Story","Delete Recall.ai, Google Meet, Transcribe and Polly code","~15 files superseded by the April 2026 in-browser architecture: RecallTranscriptClient, WebhookService.handleRecall + processRecallBot*, POST /webhooks/recall, WebhookProvider.RECALL_AI, BotServiceException, SetMeetUrlRequest, SessionResponse.googleMeetUrl, both meet-url endpoints, RecallProperties + app.recall.* in 4 profiles, recall_bot_id and google_meet_url columns, and the transcribestreaming + polly SDK dependencies (declared with zero Java usage).

BLOCKED BY Phase 3: WebhookService.handleRecall is currently the ONLY code path that moves a session past INVITED. It must survive until the browser interview room is live, then be removed in the same PR.","Medium","interviewengine cleanup","","Phase 2 - Spec Alignment"
"Story","Remove dead code","shared/audit/AuditSource.java (byte-identical duplicate of audit/domain/AuditSource.java, unused); SessionNote / NoteType / SessionNoteRepository / table V008 (referenced by nothing); frontend/README.md (default Vite template); duplicate tailwind.config.js + .ts; committed vite.config.ts.timestamp-*.mjs; .DS_Store files.","Low","interviewengine cleanup","","Phase 2 - Spec Alignment"
"Epic","Phase 3: Browser-based interview room (CRITICAL PATH)","The product itself. WebSocket signalling, candidate room backend (7 endpoints), and the React room using getUserMedia / MediaRecorder / Web Speech API. Target: 2-3 weeks. Largest single piece of work and the most estimation risk.","Highest","interviewengine","Phase 3 - Browser Interview Room",""
"Story","WebSocket infrastructure and signalling handler","Add spring-boot-starter-websocket. InterviewWebSocketHandler extends TextWebSocketHandler at /ws/session/{sessionId}, authenticated from the ?token= query param.

Implement all 8 events: session.start, question.next, answer.submit, followup.question, proctoring.event, timer.warning, session.end, session.terminated.

In-memory ConcurrentHashMap session registry - document loudly that this is correct at one instance only.","Highest","interviewengine backend websocket","","Phase 3 - Browser Interview Room"
"Story","Server-side interview timer","ScheduledExecutorService per session emitting timer.warning at 10/5/1 minutes and session.terminated at the 60-minute hard cutoff. Must survive task replacement.","High","interviewengine backend websocket","","Phase 3 - Browser Interview Room"
"Story","ECS task scale-in protection tied to session lifecycle","Without this, ECS will terminate a Fargate task holding live interviews during a scale-in event, killing candidates' sessions mid-interview.

Acceptance criteria:
- Call the ECS scale-in protection API when a session enters IN_PROGRESS
- Release protection on COMPLETED / terminated
- ALB sticky sessions enabled
- ALB deregistration delay set to 3600s
- Test scale-in with an active session","Highest","interviewengine backend infra","","Phase 3 - Browser Interview Room"
"Story","Candidate authentication and session validation endpoints","GET /candidate/session?token= (validate invite token, return session details, do NOT start) and POST /candidate/auth/otp (email OTP -> candidate JWT, 2h TTL, scoped to one session). Reuse the existing OtpService and TokenService. No Google OAuth for candidates in MVP.","High","interviewengine backend","","Phase 3 - Browser Interview Room"
"Story","Interview start, question and answer endpoints","POST /candidate/sessions/{id}/start (consent, 60-min server timer, returns first question); GET /candidate/sessions/{id}/questions/{index}; POST /candidate/sessions/{id}/answers (store, decide follow-up via LLM, return next question or end signal).

New table: session_answers (sessionId, questionIndex, questionText, transcriptText, durationSeconds, isFollowUp, score).","High","interviewengine backend","","Phase 3 - Browser Interview Room"
"Story","Proctoring events endpoint","POST /candidate/sessions/{id}/events accepting tab_switch, camera_off, face_detected, session_ended with metadata and timestamp. New table: session_events. Replaces the old /api/webhooks/recall.","Medium","interviewengine backend","","Phase 3 - Browser Interview Room"
"Story","Interview completion and evaluation trigger","POST /candidate/sessions/{id}/complete (recordingS3Key, totalDurationSeconds) -> EVALUATING -> async evaluation -> COMPLETED, settle wallet, send completion email to recruiter.","High","interviewengine backend","","Phase 3 - Browser Interview Room"
"Story","Candidate room: preflight and consent screens","Chromium browser gate (Chrome, Edge, Brave, Arc all qualify), camera/microphone permission preflight with device selection and a live preview, and a consent screen. Put the browser requirement in the invite email too.","High","interviewengine frontend","","Phase 3 - Browser Interview Room"
"Story","Candidate room: media capture and recording","getUserMedia + MediaRecorder chunked capture at 480p / 600kbps video with Opus audio (~135MB per 30-min interview). Upload the blob to S3 via pre-signed URL on completion.","Highest","interviewengine frontend","","Phase 3 - Browser Interview Room"
"Story","Candidate room: speech synthesis and recognition","SpeechSynthesis reads each question aloud. Web Speech API SpeechRecognition transcribes the candidate's answer live with an interim-results display.

Must include a typed-answer fallback - microphone permission will be denied often enough to matter.","Highest","interviewengine frontend","","Phase 3 - Browser Interview Room"
"Story","Candidate room: WebSocket client with reconnect and resume","Connect, handle all 8 server events, exponential-backoff reconnect that resumes mid-interview without losing answered questions. Must survive a Fargate task replacement.","High","interviewengine frontend websocket","","Phase 3 - Browser Interview Room"
"Story","Candidate room: proctoring hooks","visibilitychange -> tab_switch; video track onmute/onended -> camera_off. Emit over WebSocket.

Note: the browser FaceDetector API is behind Chrome's Experimental Web Platform Features flag and is NOT available by default - multi-face detection needs MediaPipe or face-api.js and is deferred to Phase 2.","Medium","interviewengine frontend","","Phase 3 - Browser Interview Room"
"Story","Interview quality controls","All currently missing: hard 60-minute duration cap; 'Could you elaborate a little more?' prompt on answers under 5 words; 60-second silence prompt; 90 seconds of silence marks the question Skipped and advances.","Medium","interviewengine backend","","Phase 3 - Browser Interview Room"
"Story","PII redaction before LLM calls","Strip candidate name, email and phone from transcripts before sending to any LLM; pass an opaque candidate_ref and re-attach identity locally when persisting the report. Free, and the strongest data-residency control available given no vendor keeps inference in India.","High","interviewengine ai security","","Phase 3 - Browser Interview Room"
"Epic","Phase 4: Terraform and CD pipeline","Build all infrastructure from zero - the terraform/ folder currently contains only two .DS_Store files. ECS Fargate ARM64 autoscaling 2->6, ALB, RDS, WAF, GuardDuty. Target: 1 week, parallelisable with Phase 3.","High","interviewengine","Phase 4 - Infrastructure",""
"Story","Terraform: network module","VPC, 2 public + 2 private subnets across 2 AZs, security groups (Fargate SG accepts inbound only from ALB SG; RDS SG accepts only Fargate SG), free S3 gateway endpoint. No NAT Gateway - Fargate tasks run in public subnets with assignPublicIp and a strict SG, saving ~$32/mo.","High","interviewengine terraform","","Phase 4 - Infrastructure"
"Story","Terraform: ECS Fargate module","Cluster, ARM64 task definition (0.5 vCPU / 1 GB), service with min 2 / max 6 tasks across 2 AZs, target-tracking autoscaling on ALBRequestCountPerTarget with CPU 65% secondary, task + execution IAM roles, scale-in protection permissions, SSM secret injection.","High","interviewengine terraform","","Phase 4 - Infrastructure"
"Story","Terraform: ALB module","Target group, HTTPS listener with ACM certificate, HTTP->HTTPS redirect, WebSocket support, sticky sessions, 3600s deregistration delay, WAF association, health check on /actuator/health.","High","interviewengine terraform","","Phase 4 - Infrastructure"
"Story","Terraform: RDS module","PostgreSQL 16, db.t4g.micro Single-AZ, 20GB gp3 with storage autoscaling enabled, private subnet group, 7-day automated backups, encryption at rest.

Also cap HikariCP at 8 connections per task - 6 tasks x 20 would exceed t4g.micro's ~85 connection limit precisely at peak load.","High","interviewengine terraform","","Phase 4 - Infrastructure"
"Story","Terraform: storage and edge modules","Three S3 buckets (recordings with 7-day expiry, assets, frontend) with Block Public Access and SSE-S3; CloudFront + ACM + Route 53 for the SPA and API domains.","Medium","interviewengine terraform","","Phase 4 - Infrastructure"
"Story","Terraform: ECR, secrets, email modules","ECR repository with a lifecycle policy keeping 10 images and basic scanning enabled; SSM Parameter Store SecureString parameters; SES domain identity with DKIM, SPF and DMARC.","Medium","interviewengine terraform","","Phase 4 - Infrastructure"
"Story","Terraform: security module (WAF + GuardDuty)","AWS WAF web ACL on the ALB with managed Core and Known-Bad-Inputs rule sets (~$9/mo); GuardDuty enabled (~$8/mo); CloudTrail first trail.","High","interviewengine terraform security","","Phase 4 - Infrastructure"
"Story","Terraform: monitoring module","CloudWatch alarms (5xx rate, ECS CPU/memory, RDS connections, evaluation-worker failures, ALB unhealthy hosts), SNS topic with email subscription, log groups with 7-day retention.","Medium","interviewengine terraform","","Phase 4 - Infrastructure"
"Story","Terraform: remote state, environments and gitignore","S3 backend with a DynamoDB lock table; envs/staging and envs/production workspaces. Add .terraform/, *.tfstate*, *.tfvars to .gitignore - all currently missing.","High","interviewengine terraform","","Phase 4 - Infrastructure"
"Story","CD pipeline with GitHub OIDC","GitHub Actions -> OIDC assume role (no static AWS keys) -> build ARM64 image -> push to ECR -> aws ecs update-service --force-new-deployment -> wait-for-stable -> automatic rollback on failed health checks. Plus S3 sync + CloudFront invalidation for the frontend.

Replaces the current pipeline, which pushes to GHCR and has no deployment step at all.","High","interviewengine cicd","","Phase 4 - Infrastructure"
"Epic","Phase 5: Billing, GST and notifications","Complete the revenue path: payment verification, GST invoicing (a legal requirement for Indian B2B), and balance notifications. Target: 3-4 days.","High","interviewengine","Phase 5 - Revenue Completeness",""
"Story","Implement POST /billing/topup/verify","The top-up flow currently depends entirely on the Razorpay webhook, so any webhook delay leaves the user looking at a stale balance. Add signature verification and idempotent wallet credit.","High","interviewengine billing","","Phase 5 - Revenue Completeness"
"Story","GST support and invoice download","There are zero occurrences of 'gst' in the backend. Add gst_number to companies, gross/tax/net columns on wallet_transactions, 18% GST calculation, and GET /billing/transactions/{txnId}/invoice. Legal requirement for Indian B2B, not a nice-to-have.","High","interviewengine billing","","Phase 5 - Revenue Completeness"
"Story","Low-balance alerts and payment failure handling","Low-balance email at <= Rs.300 and a persistent dashboard banner below Rs.300; handle the payment.failed webhook; add a session-completion email to the recruiter. EmailService currently has exactly two templates (OTP and candidate invite).","Medium","interviewengine billing","","Phase 5 - Revenue Completeness"
"Epic","Phase 6: Dashboard, storage, scheduling and remaining CRUD","Modules with no implementation at all, plus the missing behaviour inside endpoints that do exist. Target: 1-2 weeks.","Medium","interviewengine","Phase 6 - Supporting Modules",""
"Story","Dashboard and analytics endpoints","GET /dashboard/stats, /recent-sessions, /score-distribution. DashboardPage currently fabricates stats client-side from totalElements on four list queries.","Medium","interviewengine backend","","Phase 6 - Supporting Modules"
"Story","Storage controller","GET /storage/upload-url, GET /candidate/storage/upload-url, POST /storage/upload-confirm. Start actually writing to the storage_objects table (V013), which exists and has never held a row. Add RECORDING and LOGO object types.","Medium","interviewengine backend","","Phase 6 - Supporting Modules"
"Story","Scheduling and availability slots","Five endpoints (create/list/delete slots, candidate slot list, book slot), employer slot-management UI, candidate slot picker, and @Version optimistic-lock double-booking protection.","Medium","interviewengine backend frontend","","Phase 6 - Supporting Modules"
"Story","Job-level question bank","Generate 12-20 questions on JD upload, GET /jobs/{jobId}/questions, recruiter preview UI. Generation is currently per-session, not per-job.

Note: the V024 DB CHECK enforces 8-12 questions and would REJECT the spec's 12-20 range - fix the constraint in the same migration.","Medium","interviewengine backend ai","","Phase 6 - Supporting Modules"
"Story","Candidate update and delete with guards","PUT /candidates/{id} (only before invite sent) and DELETE /candidates/{id} (only if no completed session). Add the missing phone field to DTO, entity and table.","Medium","interviewengine backend","","Phase 6 - Supporting Modules"
"Story","List filters for jobs and candidates","status and search on GET /jobs (the repository method exists but is unused; the UI filters client-side over the current page only); status on the candidate list.","Medium","interviewengine backend","","Phase 6 - Supporting Modules"
"Story","Company profile completion and logo upload","POST /company/logo (no MultipartFile handling exists anywhere in the backend) plus the missing logoUrl, industry, size and gstNumber fields in the DTO, entity and companies table.","Medium","interviewengine backend","","Phase 6 - Supporting Modules"
"Story","Session reinvite, recording playback and transcript download","POST /sessions/{id}/reinvite (missing entirely), GET /sessions/{id}/recording (15-min pre-signed URL), GET /sessions/{id}/transcript. The transcript is currently fetched in memory at evaluation time and discarded - EvaluationReport.transcriptS3Key is a dead column.","Medium","interviewengine backend","","Phase 6 - Supporting Modules"
